,best_epoch,best_test_loss,datasetname,model,n_normflows,percent,test_error_rate,test_measures
320,31.0,25.8193588713,concrete,radialflow,3,1.0,45.3481636047,best_val_loss
321,5.0,12.2762293995,concrete,radialflow,4,1.0,42.0560073853,best_val_loss
322,67.0,41.8032865803,concrete,radialflow,8,1.0,18.2714557648,best_val_loss
323,0.0,inf,concrete,radialflow,20,1.0,inf,best_val_loss
324,490.0,3.91781596394,energy,mixture,1,0.25,9.52632427216,best_val_loss
325,27.0,10.5129699707,energy,mixture,2,0.25,13.8283395767,best_val_loss
326,481.0,1110.1687847,energy,mixture,3,0.25,9.37302875519,best_val_loss
327,98.0,3.22705444732,energy,mixture,4,0.25,11.6372089386,best_val_loss
328,195.0,22.1067100624,energy,mixture,8,0.25,44.3817062378,best_val_loss
329,99.0,9.50110378513,energy,mixture,20,0.25,14.1597108841,best_val_loss
330,65.0,2.57234835934,energy,mixture,1,0.5,11.7716379166,best_val_loss
331,255.0,2.22473023155,energy,mixture,2,0.5,2.71883678436,best_val_loss
