,best_epoch_mean,best_epoch_std,best_test_loss_mean,best_test_loss_std,datasetname,model,n_normflows,percent,test_error_rate_mean,test_error_rate_std,test_measures
150,72.4,94.7873409269,2.56570681229,0.792632036695,concrete,mixture,3,1.0,inf,,best_val_loss
151,53.1,86.5429950949,3.34241551273,0.359972155093,concrete,mixture,4,1.0,inf,,best_val_loss
152,107.2,180.520802125,4.33028639019,4.25747443037,concrete,mixture,8,1.0,inf,,best_val_loss
153,41.4,33.9476066903,38.5423778003,48.739952485,concrete,mixture,20,1.0,71.7290081024,55.7064435643,best_val_loss
154,53.8,78.4229558229,4.07403159157,0.596224718686,concrete,baseline,1,0.25,7.17830314636,1.72089146321,best_val_loss
155,57.2,79.5874361944,13.8768798433,2.73033885683,concrete,baseline,2,0.25,17.8560777664,0.887329279395,best_val_loss
156,73.0,126.965349604,2.82065491044,0.235695033491,concrete,baseline,3,0.25,8.5117814064,2.26671652645,best_val_loss
157,54.9,81.9810343921,12.8617605178,3.62087715278,concrete,baseline,4,0.25,9.0773496151,3.27642592282,best_val_loss
158,152.6,300.742813713,1.89736325656,0.0619120269485,concrete,baseline,8,0.25,inf,,best_val_loss
159,47.9,68.2853571419,3.53868563877,0.58479667303,concrete,baseline,20,0.25,7.14458489418,1.89154730587,best_val_loss
160,37.7,63.6113983497,4.37111951217,0.450957206463,concrete,baseline,1,0.5,inf,,best_val_loss
161,54.3,86.1766209595,2.54813992645,0.115627266945,concrete,baseline,2,0.5,inf,,best_val_loss
162,125.0,242.473503707,1.98428276581,0.244924189893,concrete,baseline,3,0.5,inf,,best_val_loss
163,120.3,224.819950182,1.93127351532,0.0871098836993,concrete,baseline,4,0.5,inf,,best_val_loss
164,56.1,48.7431020761,2.86668156003,0.132418798858,concrete,baseline,8,0.5,17.6861787796,0.655712961925,best_val_loss
165,46.9,85.0275837596,2.58399065999,0.149065529024,concrete,baseline,20,0.5,inf,,best_val_loss
166,116.4,219.423882018,3.15481178259,0.363944867673,concrete,baseline,1,1.0,17.66413517,0.964065893537,best_val_loss
167,56.6,62.461508147,2.81040710153,0.0967683597892,concrete,baseline,2,1.0,inf,,best_val_loss
168,39.6,49.1267747771,2.64627314694,0.0766403300687,concrete,baseline,3,1.0,8.48781590462,2.06531675249,best_val_loss
169,46.2,59.8294241991,3.6375533033,0.225472388813,concrete,baseline,4,1.0,6.55648889542,0.491208656048,best_val_loss
170,102.9,161.514364686,2.78755048857,0.0780110047801,concrete,baseline,8,1.0,inf,,best_val_loss
171,36.7,40.8167857627,2.96978636436,0.118749691259,concrete,baseline,20,1.0,8.58715591431,1.53943809594,best_val_loss
172,55.0,84.4476168995,1.55302813879,0.124472662274,concrete,planarflowdet,1,0.25,5.80011177063,1.10322999361,best_val_loss
173,44.1,69.4830195084,17.4769543437,4.30296158755,concrete,planarflowdet,2,0.25,6.66403326988,3.29844009607,best_val_loss
174,86.6,112.283747711,1.63158092561,0.92197535395,concrete,planarflowdet,3,0.25,18.4403395653,22.0399319253,best_val_loss
175,56.2,83.6083727865,1.67881113626,0.312134491796,concrete,planarflowdet,4,0.25,7.39413766861,4.6970162679,best_val_loss
176,76.6,113.918567407,1.67913756571,0.181689475958,concrete,planarflowdet,8,0.25,inf,,best_val_loss
