,batch_size,best_epoch,best_test_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures
91,100.0,911.0,6.04413320504,boston,2.0,baselineplus,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,9.61905002594,best_val_loss
92,10.0,279.0,83.2773202634,boston,5.0,baselineplus,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,8.64718532562,best_val_loss
93,10.0,1622.0,21.6578183642,boston,5.0,baselineplus,4,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,10.6382751465,best_val_loss
94,100.0,2073.0,218.378907596,boston,3.0,baselineplus,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,8.84328842163,best_val_loss
95,100.0,1569.0,268.304370955,boston,5.0,baselineplus,20,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.25,10.920712471,best_val_loss
96,100.0,627.0,4.19620768229,boston,1.0,baselineplus,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,17.1409244537,best_val_loss
97,10.0,1100.0,11.3105374505,boston,4.0,baselineplus,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,8.48213863373,best_val_loss
98,100.0,809.0,13.9157037174,boston,4.0,baselineplus,3,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.5,11.7235136032,best_val_loss
99,10.0,524.0,5.8950808656,boston,1.0,baselineplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,25.9715442657,best_val_loss
100,100.0,476.0,98.098367504,boston,4.0,baselineplus,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,8.49451255798,best_val_loss
101,100.0,653.0,31.9485724954,boston,2.0,baselineplus,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,34.0841331482,best_val_loss
102,100.0,1920.0,3.67699312696,boston,2.0,baselineplus,1,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,10.9229793549,best_val_loss
103,100.0,314.0,5.65425573611,boston,2.0,baselineplus,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,9.65913772583,best_val_loss
104,100.0,2032.0,4.8433787028,boston,2.0,baselineplus,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,11.807100296,best_val_loss
105,100.0,1341.0,8.16232060451,boston,3.0,baselineplus,4,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,11.5392875671,best_val_loss
106,100.0,1979.0,7.66773074281,boston,3.0,baselineplus,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,11.0090055466,best_val_loss
107,100.0,311.0,80.9229208254,boston,3.0,baselineplus,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,10.4621477127,best_val_loss
108,100.0,742.0,1476.0261389,boston,4.0,planarflow,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,17.1605186462,best_val_loss
