,datasetname,model,n_normflows,test_measures,value0,value1,value2
237,energy,baselinedetplus,4,best_val_loss,-0.894910267421,-0.755010005406,-0.111967577253
238,energy,baselinedetplus,8,best_val_loss,0.835103661673,0.884685407366,0.88853994097
239,energy,baselinedetplus,20,best_val_loss,1.78731961932,2.27309548514,10.3113438198
240,energy,radialflowdet,1,best_val_loss,-0.949951244536,-0.949013882592,-0.762152717227
241,energy,radialflowdet,2,best_val_loss,-1.57457700457,-1.56445374262,-1.46642317999
242,energy,radialflowdet,3,best_val_loss,-1.33606247675,-1.25545479911,-1.25196057274
243,energy,radialflowdet,4,best_val_loss,-1.01245180402,-0.973955993652,-0.919701374599
244,energy,radialflowdet,8,best_val_loss,-1.30843654088,-1.19636121477,-1.17838657924
245,energy,radialflowdet,20,best_val_loss,12380.7066964,7408.78035714,6521.12053571
246,energy,baselineplus,1,best_val_loss,2.28767206101,3.42262420654,3.57276466006
247,energy,baselineplus,2,best_val_loss,4.26594464983,4.26633242653,4.33463766915
248,energy,baselineplus,3,best_val_loss,3.80876101539,3.88172586714,4.27627447946
249,energy,baselineplus,4,best_val_loss,6.08317343576,8.0554637037,8.26088140578
250,energy,baselineplus,8,best_val_loss,4.08141529628,4.80912775312,5.57874814715
251,energy,baselineplus,20,best_val_loss,8.24776774815,8.34628996713,8.70053693499
252,energy,planarflow,1,best_val_loss,2.521228209,2.54480162121,2.81022703534
253,energy,planarflow,2,best_val_loss,2.56456728254,2.65752384186,2.71198919024
254,energy,planarflow,3,best_val_loss,2.10325654166,2.44563054455,2.46051404204
255,energy,planarflow,4,best_val_loss,3.70794441132,3.76169720604,3.92618760608
256,energy,planarflow,8,best_val_loss,3.15439547584,3.3463186855,3.37693947928
257,energy,planarflow,20,best_val_loss,,,
258,energy,baselinedet,1,best_val_loss,-1.66573791504,-1.62317679269,-1.61057107108
259,energy,baselinedet,2,best_val_loss,-1.25237186977,-1.16831795829,-1.1612071446
260,energy,baselinedet,3,best_val_loss,-1.20396347046,-1.18092814854,-1.15447540283
261,energy,baselinedet,4,best_val_loss,-0.648490360805,-0.317679405212,-0.315325845991
