,batch_size,best_val_error,best_val_loss,datasetname,minus_log_s1,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate
138,100,4.29987239838,0.176457928842,concrete,1,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
139,100,4.37346220016,0.343127696745,concrete,2,radialflowdet,2,0.883359400528,rmsprop,0.00767949743752,2.32648770225e-05,0.01
140,100,4.09136390686,787.314342921,concrete,7,radialflowdet,3,0.879320182305,adadelta,0.969514489555,1e-08,0.1
141,10,4.61131048203,0.415910939589,concrete,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
142,100,4.531062603,0.301163000018,concrete,1,radialflowdet,8,0.983554581891,rmsprop,0.911135788228,3.3078966447e-05,0.001
143,100,inf,10503351.4301,concrete,7,radialflowdet,20,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
144,100,12.5818443298,1.77309741066,energy,3,baseline,1,0.976976182591,adam,0.881366446805,0.000108207600393,0.001
145,10,9.69475460052,2.03289291382,energy,4,baseline,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
146,100,9.33542251587,1.75084439959,energy,5,baseline,3,0.863813152227,adam,0.00259801689953,0.000569682746779,0.01
147,10,12.6202917099,2.49899175735,energy,1,baseline,4,0.934125143078,adam,0.0076485879586,0.00031200898421,0.1
148,100,9.82866096497,1.70836219788,energy,4,baseline,8,0.936229536545,adam,0.901751392341,0.000131039182535,0.001
149,1,4.01374912262,1.63059436253,energy,2,baseline,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
150,100,0.482999145985,-1.66573791504,energy,6,baselinedet,1,0.890482965686,adadelta,0.981279975932,1e-08,0.1
151,10,0.631696522236,-1.25237186977,energy,3,baselinedet,2,0.858941739876,adam,0.923833365374,0.000105342291517,0.01
152,100,0.664392709732,-1.20396347046,energy,1,baselinedet,3,0.957318230759,rmsprop,0.955480723872,1.01791199709e-05,0.0001
153,10,1.05830097198,-0.648490360805,energy,3,baselinedet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
154,100,0.608076334,-1.38258863177,energy,1,baselinedet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
155,100,0.778778970242,-1.0671875,energy,3,baselinedet,20,0.817721723127,adam,0.0041058849276,0.000435409298522,0.01
156,100,5.48702096939,2.521228209,energy,1,planarflow,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
157,1,3.45833897591,2.22987462907,energy,2,planarflow,2,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
