,best_val_error,best_val_loss,datasetname,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_step_rate
138,5.48702096939,2.521228209,energy,planarflow,1,0.904882497394,rmsprop,0.00664346881683,0.01
139,3.45833897591,2.22987462907,energy,planarflow,2,0.892577483924,adam,0.00713582002473,0.001
140,9.08061122894,2.10325654166,energy,planarflow,3,0.902803170457,adam,0.83318129892,0.01
141,10.8234214783,3.4358863104,energy,planarflow,4,0.892577483924,adam,0.00713582002473,0.001
142,5.65012598038,2.35238400414,energy,planarflow,8,0.892577483924,adam,0.00713582002473,0.001
143,inf,,energy,planarflow,20,0.892577483924,adam,0.00713582002473,0.001
144,0.482999145985,-1.66573791504,energy,baselinedet,1,0.890482965686,adadelta,0.981279975932,0.1
145,0.631696522236,-1.25237186977,energy,baselinedet,2,0.858941739876,adam,0.923833365374,0.01
146,0.664392709732,-1.20396347046,energy,baselinedet,3,0.957318230759,rmsprop,0.955480723872,0.0001
147,1.05830097198,-0.648490360805,energy,baselinedet,4,0.963117866824,adam,0.868062801426,0.001
148,0.608076334,-1.38258863177,energy,baselinedet,8,0.890499733009,adadelta,0.940488548236,0.1
149,0.778778970242,-1.0671875,energy,baselinedet,20,0.817721723127,adam,0.0041058849276,0.01
150,12.7730054855,2.28767206101,energy,baselineplus,1,0.976976182591,adam,0.881366446805,0.001
151,3.94267249107,3.59385395958,energy,baselineplus,2,0.892577483924,adam,0.00713582002473,0.001
152,19.4457416534,3.80876101539,energy,baselineplus,3,0.957318230759,rmsprop,0.955480723872,0.0001
153,31.2391319275,5.867914109,energy,baselineplus,4,0.934125143078,adam,0.0076485879586,0.1
154,9.40450000763,4.08141529628,energy,baselineplus,8,0.936229536545,adam,0.901751392341,0.001
155,10.2259206772,8.24776774815,energy,baselineplus,20,0.817721723127,adam,0.0041058849276,0.01
156,0.439850360155,-1.69903335571,energy,baselinedetplus,1,0.890482965686,adadelta,0.981279975932,0.1
157,0.700220763683,-1.23644757952,energy,baselinedetplus,2,0.858941739876,adam,0.923833365374,0.01
158,0.775500893593,-1.14568034581,energy,baselinedetplus,3,0.918582946022,rmsprop,0.00497246690821,0.01
159,1.06210482121,-0.894910267421,energy,baselinedetplus,4,0.937634133118,adam,0.00227692082866,0.001
160,5.7010178566,0.835103661673,energy,baselinedetplus,8,0.9571221857,adam,0.000989787180952,0.001
161,11.6435546875,1.74249234881,energy,baselinedetplus,20,0.934125143078,adam,0.0076485879586,0.1
162,8.57696914673,4.66445130999,powerplant,planarflowdet,1,0.972426099398,adam,0.893157953082,0.1
163,8.06912231445,3.48791024783,powerplant,planarflowdet,2,0.822465794563,adam,0.81184023975,0.001
164,8.62979698181,3.63048369665,powerplant,planarflowdet,3,0.918582946022,rmsprop,0.00497246690821,0.01
165,8.270860672,3.59844449096,powerplant,planarflowdet,4,0.912909685765,rmsprop,0.973447443509,0.0001
166,8.06163311005,4.72918512355,powerplant,planarflowdet,8,0.822465794563,adam,0.81184023975,0.001
167,8.16208171844,4.58955653545,powerplant,planarflowdet,20,0.822465794563,adam,0.81184023975,0.001
168,8.27505874634,4.13019728753,powerplant,radialflowdet,1,0.972426099398,adam,0.893157953082,0.1
169,7.95693969727,3.43354786742,powerplant,radialflowdet,2,0.946767059908,rmsprop,0.00572619189748,0.001
170,8.0786075592,3.56620718948,powerplant,radialflowdet,3,0.822465794563,adam,0.81184023975,0.001
171,8.43558502197,3.4706537021,powerplant,radialflowdet,4,0.937634133118,adam,0.00227692082866,0.001
172,8.11261367798,3.40973623796,powerplant,radialflowdet,8,0.822465794563,adam,0.81184023975,0.001
